Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
70	3D	1	0.826460273	0.697707777	0.589910544	0.499849226	0.424674451	0.361706321	0.309449023	0.266194513	0.230956454	0.202576196	0.180122954	0.16244601	0.149558536	0.141016294	0.135023398	0.130444314	0.127062517	0.124821737	0.123704252
71	3D	1	0.831499028	0.69912339	0.590675487	0.500202854	0.424715148	0.361810408	0.309081944	0.265746178	0.230416015	0.201919185	0.179288944	0.161876541	0.148938915	0.140134474	0.134758567	0.13019715	0.126797966	0.124544158	0.123420767
72	3D	1	0.827313933	0.698549179	0.59102529	0.499928485	0.424190678	0.361378953	0.309065574	0.265751094	0.230395636	0.201926568	0.17944331	0.162086478	0.149841875	0.14069418	0.134642102	0.130037357	0.126633001	0.124376026	0.123250303
73	3D	1	0.826906296	0.69806973	0.590039398	0.499917015	0.42492672	0.361451774	0.309040597	0.265688683	0.230366399	0.201987546	0.179533443	0.161806921	0.148699299	0.139343578	0.133239088	0.129534899	0.126344143	0.1241768	0.123085796
74	3D	1	0.827461086	0.701893118	0.590644674	0.499785944	0.424037691	0.360985156	0.30863371	0.265508513	0.230242935	0.201711513	0.179115679	0.161744543	0.148982352	0.140659627	0.134507301	0.129865475	0.126450144	0.124190384	0.12306423
75	3D	1	0.82596065	0.696796569	0.588705146	0.498342365	0.422918895	0.360083012	0.307932787	0.264956052	0.229889613	0.201653913	0.179282261	0.162153947	0.149749213	0.140132393	0.134578239	0.12992656	0.126476491	0.124194099	0.123057637
76	3D	1	0.826147574	0.697095902	0.588930861	0.498463359	0.422885602	0.359886636	0.307637467	0.264602821	0.229494743	0.201243308	0.178969502	0.161955229	0.149282607	0.140794924	0.134506055	0.129917494	0.126497683	0.124221512	0.123084331
77	3D	1	0.826701423	0.698112702	0.589254322	0.498414116	0.422689689	0.35969424	0.307503104	0.264536541	0.229482747	0.201342581	0.178852464	0.161686401	0.148768962	0.139642057	0.133661594	0.129725417	0.126389116	0.124144526	0.123020637
78	3D	1	0.826221439	0.697375986	0.589601208	0.499221685	0.423509048	0.360639455	0.308053786	0.264884199	0.229506873	0.200953203	0.178380343	0.161038329	0.14820734	0.138917971	0.132954999	0.129241738	0.126058695	0.12389882	0.122812076
79	3D	1	0.825947561	0.696828797	0.588865234	0.498652937	0.423119465	0.360309161	0.308150942	0.265100634	0.230017265	0.202514034	0.179001432	0.16136856	0.14856366	0.140256225	0.134153491	0.129522585	0.126117329	0.123865669	0.122743786
